skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q598604,Terminal Tower,215.8,52,США,Кливленд,1928,"Graham, Anderson, Probst & White"
http://www.wikidata.org/entity/Q594451,Sea Towers,,,Польша,Гдыня,2009,Анджей Капусцик
http://www.wikidata.org/entity/Q546221,Международный отель и башня Трампа — Чикаго,423.2,98,США,Чикаго,2009,Эдриан Смит
http://www.wikidata.org/entity/Q555142,Кёльн Турм,148.5,43,Германия,Neustadt-Nord,2001,Жан Нувель
http://www.wikidata.org/entity/Q547270,Lodha Bellissimo,,53,Индия,Мумбаи,2012,
http://www.wikidata.org/entity/Q546221,Международный отель и башня Трампа — Чикаго,423.2,98,США,Чикаго,2009,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q555113,Frankfurter Büro Center,142.4,40,Германия,Франкфурт-на-Майне,1981,
http://www.wikidata.org/entity/Q273155,860–880 Lake Shore Drive Apartments,,,США,Чикаго,,Людвиг Мис ван дер Рое
http://www.wikidata.org/entity/Q240218,Capital at Brickell,,,США,Майами,,
http://www.wikidata.org/entity/Q323767,Башня Монпарнас,209,59,Франция,XV округ Парижа,1973,Jean Saubot
http://www.wikidata.org/entity/Q228242,"Мэдисон-авеню, 383",230,47,США,Манхэттен,2001,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q266965,Japan Center,115.3,27,Германия,Франкфурт-на-Майне,1996,
http://www.wikidata.org/entity/Q249065,Złote Tarasy,105,26,Польша,Варшава,2007,Джон Джерде
http://www.wikidata.org/entity/Q323767,Башня Монпарнас,209,59,Франция,XV округ Парижа,1973,Eugène Beaudouin
http://www.wikidata.org/entity/Q323767,Башня Монпарнас,209,59,Франция,XV округ Парижа,1973,Louis de Hoÿm de Marien
http://www.wikidata.org/entity/Q323767,Башня Монпарнас,209,59,Франция,XV округ Парижа,1973,Urbain Cassan
